idproducto,nombre,unidad,imagen,descripcion,precio,categoria,catalogo
107047,"Viales para dilución c/tapa, ",4 x 250/cja,productos/107047_Viales_pa_4e93c0fa7f365.jpg,"Viales para dilución c/tapa, 4 x 250/cja. Blood cell counting vial with attached snap cap. •Capacity: 35mL. •Vial: Polystyrene (PS). •Cap: Polyethylene (PE). •Graduated at 10mL and 20mL.",0,,2
110021,"Copa para Muestra, 0.5mL ",1000/bag,productos/110021_Copa_para_4e93c957429fc.jpg,"Copa para Muestra, 0.5mL Sample cups, 0.5mL, Polystyrene, 1000/bag (For use on laboratory analyzers) ",0,,2
110511,Cubeta para Analizadores de Coagulación ,,productos/110511__Cubeta_p_4e938c88a1d98.jpg,"-Cubeta para Analizadores de Coagulación. Reaction Cuvette for the Sherwood Coagulyzer and Coagulyzer Jr., 1000/pack ",0,,2
110610,1.5mL multi-usos ,,productos/110610_1.5mL_mul_4e939177a19f0.jpg,"1.5mL multi-usos Sample cups, 1.5mL, polystyrene (PS), 1000/bag (For use on laboratory analyzers ",0,,2
110811,4.0mL multi-usos ,,productos/110811_4.0mL_mul_4e93921339252.jpg ,"4.0mL multi-usos Sample cups, 4.0mL, polystyrene (PS), 1000/bag (For use on laboratory analyzers) ",0,,2
110911,3.0mL para Hitachi ,,productos/110911_3.0mL_par_4e9393a9b71ad.jpg,"3.0mL para Hitachi. Sample Cup, 3.0mL, polystyrene (PS), 1000/bag. For use on many laboratory analyzers. Perfect for use on Hitachi® analyzers! ",0,,2
112010,ADVIA WORKCELL ® Tubo para orina ,,productos/112010_ADVIA_WOR_4e93cfef65ced.jpg,"ADVIA WORKCELL ® Tubo para orina. 12mL (16 x 100mm) urine centrifuge tube for use on Bayer Advia Workcell® analyzers, polystyrene, 500/bag, 4 bags/case (2000/case) ",0,,2
112017,CLINITEK ® ATLAS ® Tubo para orina para usarse en carruse ,500/bag,productos/112017_CLINITEK__4e93d124d51e9.jpg,"CLINITEK ® ATLAS ® Tubo para orina para usarse en carrusel. 12mL urine tube for use in the Clinitek Atlas® carousel,",0,,2
119040A,747 16 x 75mm tubo de muestra – polipropileno,1000/case,productos/119040A_747_16_x_4e93e5ff166f9.jpg,"747 16 x 75mm tubo de muestra, polipropileno, 1000/case. 16 x 75mm sample tube, polypropylene, for use on Hitachi 747 analyzers, 1000/case ",0,,2
130141,Lámparas de Halógeno ,,productos/130141_L__mparas_4e93e28692fcf.jpg,"Lámparas de Halógeno. Halogen Lamp Assembly for use on Hitachi models: 704, 717, 747, 904, 911, 912 & 917 (Equivalent to Hitachi #705-0840) ",,,2
5108,Cubeta para: Chiron® 550 Express® ,,productos/5108___CUBETA_PA_4e9375c6cd4c2.jpg,"Cubeta para Chiron® 550 Express® & Express® Plus, 100 magazines & 24 Bolsa dispensadora. Cuvette tray for use on Ciba Corning 550 Express® & Express® Plus analyzers, 100 trays (6500 cuvettes) & 24 disposal bags per case. ",,,2
5110,Cubeta para Atac® 6000,,productos/5110___Cubeta_pa_4e9384582ee15.jpg,"Cubeta para Atac® 6000, Envuelto Individual. Cuvette sectors for the Atac 6000 analyzer, individually wrapped, 24 cuvettes/sector, 300 sectors/case ",,,2
5115,® DIMENSION Cartucho de Cubetas ,,productos/5115____DIMENSIO_4e93df1deb1cb.jpg,"® DIMENSION Cartucho de Cubetas (12,000 pruebas) Cuvette cartridge for Dade Dimension® analyzers, 12,000 tests/cartridge ",,,2
5120,Cubeta para: Roche® Cobas® Mira®,,productos/5120___Cubeta_pa_4e9371e52ab32.jpg,"Cubeta para Roche® Cobas® Mira®, Envuelto Individual, 500/caja. 15/rack, 450/case Cobas Mira cuvettes. Cuvette segments for Roche® Cobas Mira CC® with cuvette changer, 15/rack, 450/case (Equivalent to Roche item #44077) ",,,2
5123,Cubeta para: Roche® Cobas® Mira® ,,productos/CUBETA_PARA__Roc_4e936fd21e861.jpg,"Cubeta para Roche® Cobas® Mira® 15/Gradilla, 450/caja. 15/rack, 450/case Cobas Mira cuvettes. Cuvette segments for Roche® Cobas Mira CC® with cuvette changer, 15/rack, 450/case (Equivalent to Roche item #44077) ",,,2
5130B,717/914 Cubeta para analizadores Hitachi ,,productos/5130B_717_914_Cu_4e93e4069d3c1.jpg,"Cubeta para analizadores Hitachi 717 & 914, 6 sectores/set 12 set/caja (72/cajas). Cuvettes for use on Hitachi® 717 & 914 analyzers, 6 sectors/set, 12 sets/case (72/case) - Equivalent to Hitachi #717-0350 ",,,2
5131,Cubeta para: Hitachi® 911 & 912 ,,productos/5131_CUBETA_PARA_4e9376fe28894.jpg,"Cubeta para Hitachi® 911 & 912, 24/caja Cuvettes for use on Hitachi® 911 & 912 analyzers, 24/case (Equivalent to Hitachi #717-0551). ",,,2
